Time,Type,70W,60W,50W,40W,30W,20W,10W,0W
361,1,322,313,201,238,257,256,162,0,
361,2,1830,1758,1190,1380,1568,1838,1272,4,
361,3,9375,9473,7251,7532,8472,7513,3999,22,
362,0,11,7,2,3,2,2,3,0,
362,1,388,465,321,346,353,526,221,1,
362,2,1791,1784,1233,1470,1580,1774,1129,2,
362,3,9409,9225,7095,7766,8604,7530,3738,20,
363,0,11,6,3,2,2,2,3,0,
363,1,339,295,234,273,280,312,204,0,
363,2,2056,1515,1178,1295,1348,1462,1070,3,
363,3,9451,8800,7082,7792,8663,7518,3632,23,
364,0,8,5,5,4,3,3,3,0,
364,1,285,204,206,226,241,312,175,0,
364,2,2830,1761,1616,1753,1890,2061,1376,0,
364,3,10121,8013,7083,7828,8611,7362,3775,11,
365,0,12,6,3,3,3,2,3,0,
365,1,318,260,259,282,329,372,201,0,
365,2,2804,2000,1752,1850,2097,2283,1444,3,
365,3,9924,7671,7057,7898,8704,7677,3890,9,
366,0,10,7,2,2,2,3,2,0,
366,1,353,376,359,383,437,569,274,0,
366,2,1700,1741,1599,1725,2014,2380,1410,1,
366,3,8111,7967,6976,8072,8972,7320,3747,14,
367,0,8,9,2,3,2,2,3,0,
367,1,298,376,361,425,479,600,361,0,
367,2,1660,1627,1392,1567,1863,2139,1328,1,
367,3,7300,8054,7085,8023,9128,7631,3846,9,
368,0,5,12,3,2,3,3,3,0,
368,1,268,357,375,435,539,638,343,0,
368,2,1381,1654,1339,1530,1916,2319,1337,0,
368,3,6995,7778,7028,8197,8979,7950,3986,7,
369,0,4,12,3,3,4,3,2,0,
369,1,246,347,365,449,621,609,374,0,
369,2,1243,1583,1576,1849,2471,2904,1512,3,
369,3,6583,7557,6871,8176,9138,8514,4390,10,
370,0,0,2,2,2,2,3,4,0,
370,1,181,229,252,320,422,527,309,0,
370,2,1012,1470,1627,1838,2437,2818,1453,0,
370,3,6269,7335,6777,8126,9228,8542,4360,23,
371,0,1,3,2,2,3,2,3,0,
371,1,263,338,428,516,746,903,512,0,
371,2,1034,1305,1559,1834,2499,3106,1825,0,
371,3,5890,7046,6733,7993,9178,9002,4439,6,
372,0,2,3,3,4,3,5,4,0,
372,1,265,360,476,582,832,931,561,0,
372,2,1286,1752,2203,2539,3358,4024,2341,0,
372,3,5553,6922,6818,8026,8828,9229,4763,3,
373,0,9,6,4,3,3,3,3,0,
373,1,222,293,341,442,585,711,420,0,
373,2,1062,1486,1951,2321,3221,3651,1888,0,
373,3,5831,7186,6814,7743,8709,8619,4692,8,
374,0,6,8,4,3,3,4,3,0,
374,1,204,279,323,403,599,612,353,0,
374,2,924,1363,1764,2075,2928,3246,1825,0,
374,3,6173,6952,6828,7900,8902,8524,4513,6,
375,0,3,7,6,4,3,3,3,0,
375,1,196,322,385,486,658,715,432,0,
375,2,953,1356,1746,2043,2879,2812,1676,0,
375,3,6908,7290,6915,8153,8853,8142,4239,6,
376,0,5,12,4,3,3,4,3,0,
376,1,181,249,251,342,431,501,336,0,
376,2,1315,1491,1547,1872,2280,2563,1636,1,
376,3,8561,7826,7156,8342,8033,7526,4065,21,
377,0,5,7,4,5,5,4,4,0,
377,1,254,228,215,292,365,445,276,1,
377,2,1206,1248,1096,1474,1776,2407,1450,3,
377,3,10427,7851,7211,8077,7952,7783,3989,10,
378,0,4,14,3,5,4,4,4,0,
378,1,228,158,176,258,353,407,275,0,
378,2,1517,1119,1169,1522,1998,2499,1629,2,
378,3,11360,7226,6867,7621,8309,8133,4091,4,
379,0,17,3,3,3,3,3,3,0,
379,1,169,176,236,313,408,514,302,0,
379,2,986,834,944,1240,1647,2247,1266,0,
379,3,11758,6556,6934,7513,8444,9067,3947,1,
380,0,1,2,3,2,7,8,5,0,
380,1,95,125,147,215,341,438,227,0,
380,2,677,877,941,1344,1763,2428,1418,0,
380,3,10329,6424,7382,7670,8799,9479,4385,1,
381,0,1,3,3,3,5,9,7,0,
381,1,104,138,183,232,334,498,256,0,
381,2,523,701,883,1209,1801,2578,1468,0,
381,3,8285,6846,7983,8446,9189,9478,4246,3,
382,0,1,3,2,4,4,11,9,0,
382,1,97,127,200,201,252,415,147,0,
382,2,840,1030,1368,1566,2106,2967,1600,0,
382,3,6270,6948,8418,8838,9331,9284,4176,2,
383,0,8,8,7,9,6,5,5,0,
383,1,79,115,156,186,257,465,263,0,
383,2,852,1182,1649,2159,2740,3804,2193,0,
383,3,5265,7218,8766,9507,9467,9173,4589,0,
384,0,1,3,3,2,4,9,16,0,
384,1,58,101,129,171,282,547,292,0,
384,2,709,1123,1596,1922,2556,3720,2357,0,
384,3,5079,6907,9455,9432,9462,8889,4473,0,
385,0,5,8,4,5,4,3,4,0,
385,1,121,188,234,271,364,622,416,0,
385,2,588,960,1184,1738,2340,3534,2474,0,
385,3,4401,7322,9801,9295,9515,8373,4430,0,
386,0,6,10,2,2,2,3,2,0,
386,1,82,131,149,213,323,342,248,0,
386,2,637,1060,1242,1675,2207,3350,2341,0,
386,3,4245,7530,10707,8885,8961,8244,3849,0,
387,0,5,10,3,2,3,3,2,0,
387,1,116,198,210,172,232,420,167,0,
387,2,771,1430,1417,1603,2491,4089,1411,0,
387,3,4190,8368,10410,8673,8927,7966,3415,0,
388,0,7,9,4,3,2,4,2,0,
388,1,125,232,193,239,383,573,201,0,
388,2,854,1691,1365,1850,2328,3525,1351,0,
388,3,4223,9579,9695,8862,8619,7977,3027,0,
389,0,4,12,3,3,3,3,3,0,
389,1,119,272,162,161,192,274,117,0,
389,2,819,1656,1258,1499,2105,2669,1156,0,
389,3,4356,10216,9639,8645,8712,7298,2979,1,
390,0,9,8,3,3,3,2,3,0,
390,1,250,362,249,243,299,401,203,0,
390,2,886,1407,1153,1475,1924,2784,1203,0,
390,3,5697,10391,9280,8224,8434,6723,2792,2,
391,0,8,3,3,3,3,3,3,0,
391,1,232,274,190,231,290,420,180,0,
391,2,1202,1536,1187,1673,2101,2651,1215,0,
391,3,6016,10341,9683,8081,8202,6379,2858,0,
392,0,5,11,5,3,4,4,3,0,
392,1,223,247,173,179,237,260,166,0,
392,2,1147,1434,1095,1444,1956,1846,1002,0,
392,3,6413,9885,10590,8317,8571,5895,2742,3,
393,0,5,11,4,4,3,4,3,0,
393,1,198,202,136,128,171,201,139,0,
393,2,1072,1369,1091,1685,2529,1762,838,0,
393,3,6274,10246,11023,8426,8546,5235,2670,2,
394,0,5,8,5,4,4,3,3,0,
394,1,203,247,147,160,229,179,131,0,
394,2,1140,1482,1100,1720,2649,1531,812,0,
394,3,5716,10304,12142,8438,8354,4858,2569,1,
395,0,8,8,4,4,5,3,3,0,
395,1,155,201,119,172,225,109,90,0,
395,2,813,1173,860,1452,2582,1218,675,0,
395,3,5550,10809,12490,8941,8103,4629,2492,0,
396,0,6,9,6,4,5,4,3,0,
396,1,129,174,127,173,353,259,65,0,
396,2,732,1128,848,1270,2315,1590,624,0,
396,3,5921,10827,12656,8987,8079,4530,2411,0,
397,0,7,4,3,4,4,3,3,0,
397,1,89,109,94,96,159,202,89,0,
397,2,948,1303,864,1265,2109,1397,678,0,
397,3,6146,10557,12676,9270,7720,4499,2466,0,
398,0,8,3,3,3,3,4,2,0,
398,1,171,161,95,118,164,106,85,0,
398,2,1116,1330,881,1442,2174,1261,742,0,
398,3,6521,11336,12589,9348,7588,4429,2511,1,
399,0,6,4,3,4,3,3,3,0,
399,1,249,301,140,174,256,135,108,0,
399,2,872,1177,704,1411,1918,1215,738,8,
399,3,6773,12566,12498,9590,7052,4537,2599,3,
400,0,7,3,3,3,4,3,2,0,
400,1,222,309,136,150,209,147,123,0,
400,2,1013,1382,784,1290,1828,1137,733,0,
400,3,6903,14068,12366,9587,7293,4655,2686,1,
401,0,7,9,4,3,4,3,4,0,
401,1,185,284,123,146,172,108,93,0,
401,2,1146,1946,1099,1859,2968,1265,798,0,
401,3,6029,15291,12221,10386,7532,4662,2886,6,
402,0,3,11,4,4,4,3,3,0,
402,1,242,302,185,249,216,139,103,0,
402,2,1383,2245,1223,1469,2686,1177,772,0,
402,3,6515,15791,12500,10634,7636,4820,2851,1,
403,0,7,7,4,4,3,4,3,0,
403,1,206,215,132,155,265,105,88,0,
403,2,1472,2094,1436,2085,3034,1235,799,1,
403,3,7564,15225,12318,10778,7396,4749,3088,1,
404,0,3,13,4,3,4,4,3,0,
404,1,327,439,194,179,317,135,112,0,
404,2,2114,2820,1698,2345,3371,1463,1026,0,
404,3,8628,14963,11901,10408,7679,4520,3076,1,
405,0,6,11,3,3,4,3,3,0,
405,1,696,387,160,141,193,108,96,0,
405,2,4180,3683,1983,2579,3424,1717,1343,0,
405,3,10041,13076,11290,9470,8113,4504,3179,0,
406,0,3,13,3,4,4,3,3,0,
406,1,473,477,270,234,222,181,159,0,
406,2,2535,3020,2030,2366,3109,1471,1206,0,
406,3,9389,12966,11012,9515,8668,4755,3342,0,
407,0,8,3,3,4,4,3,3,0,
407,1,671,744,324,236,198,219,191,0,
407,2,2496,3240,2005,2540,2034,1497,1206,0,
407,3,8038,12218,11964,10106,8735,4947,3400,0,
408,0,8,3,3,3,4,3,4,0,
408,1,436,768,303,345,313,285,257,0,
408,2,1610,3019,1827,2514,2081,1569,1229,0,
408,3,7503,12140,11612,10770,8801,4886,3518,0,
409,0,8,4,3,5,4,4,4,0,
409,1,260,642,261,225,226,237,219,0,
409,2,1772,3322,2138,2331,2096,1650,1321,0,
409,3,7175,12315,11290,11138,9047,4949,3369,0,
410,0,8,3,4,5,4,4,4,0,
410,1,297,580,288,306,307,328,254,0,
410,2,1586,2735,1878,2218,1907,1617,1345,0,
410,3,6914,11315,11496,11522,9063,5383,3371,0,
411,0,8,3,4,4,4,4,4,0,
411,1,294,477,291,245,284,311,263,0,
411,2,1537,2735,1840,2380,2723,2085,1576,0,
411,3,7502,11113,10984,11125,9124,5476,3461,0,
412,0,8,3,4,4,4,4,4,0,
412,1,349,565,423,235,243,270,209,0,
412,2,2427,4697,3174,2970,2880,2565,1775,0,
412,3,7728,10723,11065,11319,9226,5967,3277,0,
413,0,4,8,5,3,5,4,4,0,
413,1,384,647,406,288,279,343,271,0,
413,2,2600,5108,3455,3327,2881,2353,1634,0,
413,3,7860,11996,11156,10753,8804,6217,3245,0,
414,0,5,14,6,5,5,6,4,0,
414,1,309,590,379,300,298,359,261,0,
414,2,2408,4954,3499,3293,3233,2567,1818,0,
414,3,7958,12108,10841,10491,8721,6057,3297,0,
415,0,8,5,5,5,4,5,5,0,
415,1,318,549,451,355,353,350,250,0,
415,2,2120,4581,3347,3528,3516,2492,1624,0,
415,3,7555,11945,10553,10462,8767,6485,3517,0,
416,0,2,4,5,3,5,5,4,0,
416,1,216,380,259,316,336,306,231,0,
416,2,2406,5091,4069,3641,3453,2436,1636,0,
416,3,7955,12324,10491,10088,8104,6457,3459,0,
417,0,3,4,4,4,5,5,4,0,
417,1,490,938,558,384,359,366,265,0,
417,2,3149,6107,4759,4111,3667,2567,1542,0,
417,3,8689,12623,10111,9618,7919,6362,3436,0,
418,0,2,4,4,4,5,5,4,0,
418,1,462,787,355,330,395,329,234,0,
418,2,3472,7605,5141,4572,4024,2885,1771,0,
418,3,9640,13256,9470,9257,7416,5915,3252,0,
419,0,2,5,5,5,5,6,5,0,
419,1,677,1255,845,584,536,436,320,0,
419,2,3296,8114,5562,4378,3914,2725,1714,0,
419,3,10417,13660,9858,8878,7145,5581,3178,0,
420,0,6,6,5,5,5,5,5,0,
420,1,460,1104,508,440,328,350,262,0,
420,2,3572,7684,5165,4056,3069,2349,1573,0,
420,3,10698,14094,9934,9118,6517,5460,3125,0,
421,0,10,5,6,5,5,5,5,0,
421,1,754,1120,618,544,405,379,310,0,
421,2,4664,7521,4416,3499,2706,1994,1411,0,
421,3,13527,13853,9446,9064,6613,5152,3258,0,
422,0,14,12,10,8,6,5,5,0,
422,1,929,1236,752,630,420,408,305,0,
422,2,5448,7508,5336,4570,3491,2364,1568,0,
422,3,14707,13636,9616,9468,7263,5311,3575,0,
423,0,18,5,5,6,6,8,4,0,
423,1,797,959,635,703,560,501,353,0,
423,2,7117,8377,5623,6420,4971,3137,2123,0,
423,3,16096,12981,9366,10075,7821,5865,3698,0,
424,0,9,8,5,5,6,6,5,0,
424,1,1222,1437,996,914,716,558,404,0,
424,2,6897,7175,5041,5359,4390,2845,1974,0,
424,3,17514,12348,9510,10085,8085,6052,3860,0,
425,0,9,4,5,5,6,5,4,0,
425,1,966,982,650,767,643,553,383,0,
425,2,8128,6053,4575,5023,4364,3092,2038,0,
425,3,19182,11650,9213,10110,8238,6233,3750,0,
426,0,62,14,16,8,0,0,0,0,
426,1,1739,1004,738,714,731,701,483,0,
426,2,7813,6417,4665,5932,5334,3501,2256,0,
426,3,18637,11128,9053,10588,8603,6491,3877,0,
427,0,3,5,4,6,15,11,6,0,
427,1,973,956,647,703,697,621,432,0,
427,2,10614,7079,5822,7358,6348,3865,2574,0,
427,3,18413,11775,8993,10393,8804,6743,3906,1,
428,0,65,13,17,5,0,0,0,0,
428,1,1077,879,686,683,682,644,432,0,
428,2,10656,6844,5739,6416,6165,3779,2529,0,
428,3,19312,11155,9155,10153,9082,6792,3751,0,
429,0,3,4,5,3,15,10,7,0,
429,1,1069,693,641,752,732,655,443,0,
429,2,9997,6434,5405,6095,5357,3395,2270,0,
429,3,19395,11565,9206,10198,9164,6582,3786,0,
430,0,38,4,5,5,4,4,4,0,
430,1,938,658,597,678,648,578,406,0,
430,2,9206,5880,5229,6039,5212,3222,2207,0,
430,3,19444,11041,9273,10235,9333,6667,3823,1,
431,0,62,14,16,8,0,0,0,0,
431,1,1135,852,738,803,611,569,411,0,
431,2,10503,7105,6565,7188,6061,4240,2844,0,
431,3,19225,10964,9415,10590,9150,6726,3800,1,
432,0,33,5,6,5,5,5,4,0,
432,1,879,614,615,612,604,560,413,0,
432,2,10194,7258,6303,6287,5129,3755,2568,0,
432,3,18866,10902,9548,10620,9104,6685,3961,1,
433,0,27,5,7,6,4,4,4,0,
433,1,912,597,585,594,481,465,355,0,
433,2,9078,7326,6642,6744,5334,3958,2906,0,
433,3,17991,11329,9875,10358,9106,6454,3915,1,
434,0,3,4,6,7,6,5,5,0,
434,1,739,699,640,742,554,527,413,0,
434,2,7403,6522,5866,7319,5380,3851,2995,0,
434,3,17043,11793,9820,10393,9200,6464,4064,2,
435,0,22,6,7,6,4,5,3,0,
435,1,843,898,728,815,578,562,480,0,
435,2,7717,6414,5693,6597,4533,3440,2757,0,
435,3,16680,11851,10107,10276,9462,6673,4090,1,
436,0,24,4,6,6,5,4,4,0,
436,1,973,724,703,676,534,585,495,0,
436,2,8380,7121,6692,6620,5018,3965,3158,0,
436,3,17725,11308,10197,10102,9863,6967,4271,0,
437,0,25,4,4,5,4,5,3,0,
437,1,978,737,756,729,501,498,407,0,
437,2,7709,6133,5881,6665,4557,3725,2901,0,
437,3,18901,10625,9982,9885,9729,7051,4295,1,
438,0,23,4,4,5,5,4,4,0,
438,1,850,665,646,663,566,524,433,0,
438,2,7445,5936,5815,6360,4629,3502,2817,0,
438,3,18195,11366,10086,9921,9723,7323,4412,1,
439,0,24,7,6,7,10,10,7,0,
439,1,813,693,681,689,573,568,447,0,
439,2,6773,5708,5363,5661,4488,3564,2686,0,
439,3,18205,10968,9984,10195,10170,7571,4442,0,
440,0,21,8,7,8,10,14,8,0,
440,1,864,717,622,605,569,618,508,0,
440,2,5933,5715,5245,5498,4337,3806,2919,0,
440,3,17590,11319,10294,10117,10203,7750,4710,0,
441,0,21,7,7,7,10,11,6,0,
441,1,916,696,713,679,670,696,509,0,
441,2,7062,6414,5880,6000,5141,4334,3108,0,
441,3,15794,11824,10413,10033,10547,8257,4865,0,
442,0,13,4,6,5,5,4,4,0,
442,1,905,799,729,723,640,667,501,0,
442,2,6028,6402,5742,6310,5409,4366,3035,0,
442,3,14344,12108,10582,10858,10934,8386,4765,3,
443,0,6,12,4,5,4,4,4,0,
443,1,772,718,654,692,652,645,467,0,
443,2,5336,5933,5361,6671,5454,4233,2765,0,
443,3,13384,11920,10650,10710,11262,9083,5088,1,
444,0,11,4,5,4,5,4,4,0,
444,1,829,748,684,767,819,672,429,0,
444,2,5643,6472,6199,7975,5960,4329,3102,0,
444,3,13099,11628,10626,10941,11777,9520,5186,0,
445,0,7,4,6,6,5,4,4,0,
445,1,834,650,619,644,644,593,454,0,
445,2,6792,6015,6178,7767,6613,4667,3072,0,
445,3,12893,10828,10472,11242,12138,9765,5039,0,
446,0,20,5,5,6,6,6,4,0,
446,1,818,705,659,822,791,643,415,0,
446,2,5788,5652,5475,7479,6821,4117,2667,0,
446,3,12636,10316,10008,11356,12528,9643,5278,0,
447,0,8,9,6,8,9,10,6,0,
447,1,479,566,506,644,640,392,287,0,
447,2,4825,5363,5364,7387,6845,4593,3038,0,
447,3,11460,10263,10240,11418,12769,10370,5364,0,
448,0,20,4,6,5,5,5,4,0,
448,1,449,601,591,839,888,645,544,0,
448,2,3997,4457,4743,7180,6611,4575,3570,0,
448,3,10502,9934,10035,11710,13471,11041,5658,0,
449,0,12,5,5,6,7,6,3,0,
449,1,361,475,476,736,1017,476,435,0,
449,2,2659,2990,3610,5864,5762,3573,2636,0,
449,3,9729,9660,9889,11420,14019,10863,5778,0,
450,0,13,6,5,7,4,6,4,0,
450,1,320,375,428,712,880,320,312,0,
450,2,2105,2499,2926,4699,5115,2831,1965,0,
450,3,9042,9261,9723,11966,14379,10730,5457,0,
451,0,3,6,6,7,10,10,7,0,
451,1,324,374,436,817,1024,417,423,0,
451,2,1593,2124,2629,4746,4901,2921,2035,0,
451,3,8018,9230,10047,12168,14603,10992,5767,0,
452,0,2,5,6,8,9,9,7,0,
452,1,212,300,384,714,931,331,432,0,
452,2,1557,2092,2754,4787,5797,2841,2456,0,
452,3,7481,9036,10018,12120,15445,11544,5752,0,
453,0,4,5,6,7,7,7,5,0,
453,1,239,256,304,552,627,282,438,0,
453,2,1285,1423,1701,3693,4374,2058,1771,0,
453,3,7330,8743,9734,11972,15515,11156,5659,0,
454,0,3,6,4,6,8,5,4,0,
454,1,184,169,211,457,575,179,218,0,
454,2,1138,1239,1356,3419,4238,1552,1417,0,
454,3,6978,8244,9534,12407,16258,10098,5385,0,
455,0,13,8,7,8,11,11,12,0,
455,1,200,205,252,423,494,272,410,0,
455,2,875,1078,1289,2538,2711,1360,1657,0,
455,3,6284,8017,9874,12790,16654,9468,5167,0,
456,0,16,7,9,7,7,8,8,0,
456,1,204,271,359,695,772,348,418,0,
456,2,1270,1486,2120,3592,4267,2053,1865,0,
456,3,6220,7721,10284,13464,17026,8399,4804,0,
457,0,12,9,8,7,7,8,7,0,
457,1,86,94,135,276,326,144,212,0,
457,2,809,900,1374,2308,2791,1152,1030,0,
457,3,6189,7548,10071,13346,16908,7777,4756,0,
458,0,3,6,7,12,9,14,10,0,
458,1,71,109,215,452,627,132,161,0,
458,2,581,816,1254,2186,2982,1245,918,0,
458,3,5753,7828,10151,14343,16038,6995,4721,0,
459,0,11,13,14,15,47,0,0,0,
459,1,107,167,240,385,492,254,224,0,
459,2,1071,1714,2135,3163,4139,2120,1342,0,
459,3,5234,8550,10747,15384,14688,6741,4608,0,
460,0,9,4,4,5,5,4,5,0,
460,1,154,185,220,278,332,259,243,0,
460,2,1482,2052,2868,3596,4966,2605,1675,0,
460,3,5839,8366,10942,15911,14374,7082,4552,0,
461,0,5,7,5,5,5,4,5,0,
461,1,250,265,239,287,361,264,240,0,
461,2,2182,2727,3242,3958,5522,2968,2097,0,
461,3,6173,8519,10684,16058,14050,6859,4443,0,
462,0,3,7,7,5,5,7,4,0,
462,1,201,268,278,273,426,277,204,0,
462,2,1662,2581,3175,3900,6199,2685,1624,0,
462,3,5763,8748,11117,16270,12818,7440,4466,0,
463,0,7,11,5,6,5,7,6,0,
463,1,237,339,343,391,562,321,269,0,
463,2,1488,2082,2743,3244,4325,2577,1674,0,
463,3,5988,8859,11937,16732,12657,7770,4591,0,
464,0,6,10,3,3,4,8,7,0,
464,1,196,250,217,240,364,278,210,0,
464,2,1428,2053,2479,3054,3947,2372,1596,0,
464,3,6416,9261,11958,16931,13187,9073,4630,0,
465,0,6,6,4,3,5,8,8,0,
465,1,207,295,283,338,489,319,262,1,
465,2,1612,2203,2167,3073,3665,2909,2137,1,
465,3,6427,9129,11847,16415,13228,9614,5039,0,
466,0,2,4,5,5,5,5,5,0,
466,1,205,314,269,266,361,464,423,0,
466,2,1640,2365,2222,2613,3806,4037,2973,0,
466,3,6013,8733,11393,16214,13320,10302,5755,0,
467,0,8,3,2,3,4,8,6,0,
467,1,226,350,278,268,363,558,458,0,
467,2,1608,2554,2176,2535,4079,4229,2812,0,
467,3,5653,8631,10904,15320,13974,11309,6536,0,
468,0,8,3,3,3,4,6,8,0,
468,1,246,396,308,347,491,523,463,0,
468,2,1788,2542,2046,2377,3413,4417,3301,0,
468,3,5955,8698,10677,15091,14400,11627,7387,0,
469,0,7,9,3,3,3,5,6,0,
469,1,246,376,295,365,522,528,502,0,
469,2,1568,2228,1742,2155,3297,3939,2593,0,
469,3,6011,8895,10340,15266,14989,11853,7822,0,
470,0,2,3,3,3,4,7,7,0,
470,1,193,260,249,252,395,511,470,0,
470,2,1215,1820,1357,1599,3063,3724,2432,0,
470,3,5575,8794,9954,15380,15273,12127,7597,0,
471,0,3,4,11,3,5,7,8,0,
471,1,108,189,166,163,217,318,334,0,
471,2,1230,1563,1339,1708,2992,3888,2183,0,
471,3,5913,9024,10192,16196,16878,12958,6378,0,
472,0,5,8,7,7,8,31,34,0,
472,1,32,37,29,31,68,97,130,0,
472,2,1039,1342,1089,1723,3033,4712,1397,0,
472,3,6379,9210,10592,16522,18634,14694,4776,0,
473,0,2,3,2,10,5,7,9,0,
473,1,96,136,94,173,235,314,273,0,
473,2,1323,1904,1400,2271,3907,6134,2272,0,
473,3,6281,9022,10825,16660,17739,15151,4301,0,
474,0,2,3,3,4,5,9,9,0,
474,1,61,103,67,111,169,261,196,0,
474,2,821,1252,921,1443,2188,5794,1419,0,
474,3,5771,8640,11238,16714,17550,15914,3759,0,
475,0,9,10,3,2,3,4,17,0,
475,1,108,156,124,203,234,221,403,0,
475,2,1035,1394,1197,1975,2284,5900,2113,0,
475,3,5800,9073,11573,16265,16350,16392,4230,0,
476,0,3,3,3,8,31,37,15,0,
476,1,63,86,70,121,220,414,94,0,
476,2,885,1134,1097,1612,2750,5172,1146,0,
476,3,5812,9231,11869,16781,16484,15287,3940,0,
477,0,7,7,3,3,3,4,5,0,
477,1,144,219,171,181,325,681,472,0,
477,2,904,1322,1170,1466,2871,4973,1945,0,
477,3,5872,8842,11510,16710,15973,13032,3913,0,
478,0,7,4,3,3,2,4,6,0,
478,1,176,235,211,196,315,922,698,0,
478,2,847,1195,1194,1230,2362,4720,2816,0,
478,3,5401,8653,11589,16740,15696,10777,3669,0,
479,0,4,5,4,4,2,4,5,0,
479,1,107,174,172,182,337,709,498,0,
479,2,704,1084,1125,1100,1975,4321,2146,0,
479,3,5685,8742,12539,17298,15253,8904,3081,0,
480,0,3,3,3,3,3,4,5,0,
480,1,64,78,90,92,140,401,300,0,
480,2,340,501,669,760,1752,2287,1215,0,
480,3,6151,9320,14087,18223,13385,6406,2116,0,
481,0,8,5,4,6,12,41,9,0,
481,1,44,51,65,69,110,327,267,0,
481,2,395,551,606,1107,2140,2335,1188,0,
481,3,6186,9479,14446,19437,12427,4919,1492,0,
482,0,6,11,6,46,31,0,0,0,
482,1,27,34,34,112,111,165,54,0,
482,2,329,492,648,919,2290,2092,1088,0,
482,3,6226,9430,14654,20084,11698,4393,1309,0,
483,0,2,6,6,7,13,15,25,0,
483,1,20,56,47,73,98,125,64,0,
483,2,196,392,379,556,2078,1392,489,0,
483,3,6010,9991,15525,20992,11478,3950,972,0,
484,0,3,7,10,12,15,35,18,0,
484,1,21,68,122,95,115,51,44,0,
484,2,133,279,342,550,1408,296,127,0,
484,3,6465,11211,17147,22891,9211,3408,848,0,
485,0,12,31,22,35,0,0,0,0,
485,1,41,71,51,74,63,0,0,0,
485,2,66,107,97,316,114,0,0,0,
485,3,7573,11423,18298,22820,7771,3082,883,0,
486,0,2,22,31,26,19,0,0,0,
486,1,24,38,49,66,23,0,0,0,
486,2,38,88,94,183,194,3,0,0,
486,3,7760,11754,18785,22387,7694,3151,952,0,
487,0,0,0,0,0,0,0,0,0,
487,1,0,0,0,0,0,0,0,0,
487,2,0,0,0,0,0,0,0,0,
487,3,7917,13014,19968,21830,6760,2988,1005,0,
488,0,3,5,4,4,22,34,28,0,
488,1,3,5,4,4,22,34,28,0,
488,2,34,52,63,93,191,93,68,0,
488,3,8881,15080,21913,21078,5400,2945,848,0,
489,0,0,0,0,0,0,0,0,0,
489,1,0,0,0,0,0,0,0,0,
489,2,0,0,0,0,0,0,0,0,
489,3,9857,15685,24428,19678,4815,2564,813,0,
490,0,0,0,0,0,0,0,0,0,
490,1,0,0,0,0,0,0,0,0,
490,2,19,39,91,198,328,202,23,0,
490,3,9922,16624,26234,17714,4450,2316,803,0,
491,0,0,0,0,0,0,0,0,0,
491,1,0,0,0,0,0,0,0,0,
491,2,5,12,11,147,47,36,9,0,
491,3,10480,18498,27413,15922,4584,1797,634,0,
492,0,0,0,0,0,0,0,0,0,
492,1,0,0,0,0,0,0,0,0,
492,2,0,0,0,0,0,0,0,0,
492,3,12050,19407,29306,13706,3853,1078,299,0,
493,0,0,0,0,0,0,0,0,0,
493,1,0,0,0,0,0,0,0,0,
493,2,0,0,0,0,0,0,0,0,
493,3,13025,20214,28693,12114,3566,714,159,0,
494,0,0,0,0,0,0,0,0,0,
494,1,0,0,0,0,0,0,0,0,
494,2,0,0,0,0,0,0,0,0,
494,3,14034,21111,27484,10193,3528,682,107,0,
495,0,0,0,0,0,0,0,0,0,
495,1,0,0,0,0,0,0,0,0,
495,2,0,0,0,0,0,0,0,0,
495,3,14815,22471,25117,9298,3145,789,131,0,
496,0,0,0,0,0,0,0,0,0,
496,1,0,0,0,0,0,0,0,0,
496,2,0,0,0,0,0,0,0,0,
496,3,17053,24496,20941,8194,2548,606,150,0,
497,0,0,0,0,0,0,0,0,0,
497,1,0,0,0,0,0,0,0,0,
497,2,0,0,0,0,0,0,0,0,
497,3,19118,26943,16360,6205,2276,696,123,0,
498,0,0,0,0,0,0,0,0,0,
498,1,0,0,0,0,0,0,0,0,
498,2,0,0,0,0,0,0,0,0,
498,3,21001,27268,13317,5265,1905,734,91,0,
499,0,0,0,0,0,0,0,0,0,
499,1,0,0,0,0,0,0,0,0,
499,2,0,0,0,0,0,0,0,0,
499,3,21784,28186,11571,5078,1582,466,15,0,
500,0,0,0,0,0,0,0,0,0,
500,1,0,0,0,0,0,0,0,0,
500,2,0,0,0,0,0,0,0,0,
500,3,24449,27496,10968,4655,1425,90,3,0,
501,0,0,0,0,0,0,0,0,0,
501,1,0,0,0,0,0,0,0,0,
501,2,0,0,0,0,0,0,0,0,
501,3,27595,26552,9581,4851,1396,272,0,0,
502,0,0,0,0,0,0,0,0,0,
502,1,0,0,0,0,0,0,0,0,
502,2,0,0,0,0,0,0,0,0,
502,3,28871,24290,9362,5428,2038,372,63,0,
503,0,0,0,0,0,0,0,0,0,
503,1,0,0,0,0,0,0,0,0,
503,2,0,0,0,0,0,0,0,0,
503,3,30698,22070,9101,5848,2856,389,7,0,
504,0,0,0,0,0,0,0,0,0,
504,1,0,0,0,0,0,0,0,0,
504,2,0,0,0,0,0,0,0,0,
504,3,32959,19605,8539,6168,3415,1174,193,0,
505,0,0,0,0,0,0,0,0,0,
505,1,0,0,0,0,0,0,0,0,
505,2,294,83,100,105,205,564,219,0,
505,3,34970,18271,8108,5942,3347,2732,886,0,
506,0,0,0,0,0,0,0,0,0,
